id,title,content,brief,target,type
71078,Shen Gongbao God volumes,"    Shen male leopard Young is the late-bloomer, together apprentice in the original Senior, late-bloomer palm jealous Gods power, mutiny Yu Xu door, evil, wicked, but Daoxing cultivation has very deep!","    Have the opportunity, could to find Kim, white, colorful glass in the wild at all levels, also bought ""Kim chest"" in the mall get Kim, and by the task destiny ""Kim white"" and ""Yu is also a wall """" colored Unending "","" colorful silk ""redeem obtain the desired jewelry!",Gold jewelry,2
71079,Do evil,"    Shen male leopard Young is the late-bloomer, together apprentice in the original Senior, late-bloomer palm jealous Gods power, mutiny Yu Xu door, evil, wicked, but Daoxing cultivation has very deep!","    Who have the opportunity to be in the depths of the mountains to find God Kunlun jade, also through the purchase of ""God Kunlun jade box"" in the mall to get!",Shen Gongbao God Volume Kunlun jade God,2
71081,Godsend Bazhe 1,"    Heaven for all into the ""Feng misty city"" hegemony server overlord who carried gifts!
Daily fixed period of time can directly receive different treasures, equipment!","    Daily 10: 00 ~ 11: 00,12: 00 to 13: 00,14: 00 to 15: 00,16: 00 to 17: 00,18: 00 to 19: 00,20: 00 to 21: 00, 21:00 - 22:00 time period, available through the taskbar class destiny ""heaven-sent Bazhe"" series of tasks directly receive the corresponding reward!",online,6
71082,Godsend Bazhe 2,"    Heaven for all into the ""Feng misty city"" hegemony server overlord who carried gifts!
Daily fixed period of time can directly receive different treasures, equipment!","    Daily 10: 00 ~ 11: 00,12: 00 to 13: 00,14: 00 to 15: 00,16: 00 to 17: 00,18: 00 to 19: 00,20: 00 to 21: 00, 21:00 - 22:00 time period, available through the taskbar class destiny ""heaven-sent Bazhe"" series of tasks directly receive the corresponding reward!",online,6
71083,Godsend Bazhe 3,"    Heaven for all into the ""Feng misty city"" hegemony server overlord who carried gifts!
Daily fixed period of time can directly receive different treasures, equipment!","    Daily 10: 00 ~ 11: 00,12: 00 to 13: 00,14: 00 to 15: 00,16: 00 to 17: 00,18: 00 to 19: 00,20: 00 to 21: 00, 21:00 - 22:00 time period, available through the taskbar class destiny ""heaven-sent Bazhe"" series of tasks directly receive the corresponding reward!",online,6
71084,Godsend Bazhe 4,"    Heaven for all into the ""Feng misty city"" hegemony server overlord who carried gifts!
Daily fixed period of time can directly receive different treasures, equipment!","    Daily 10: 00 ~ 11: 00,12: 00 to 13: 00,14: 00 to 15: 00,16: 00 to 17: 00,18: 00 to 19: 00,20: 00 to 21: 00, 21:00 - 22:00 time period, available through the taskbar class destiny ""heaven-sent Bazhe"" series of tasks directly receive the corresponding reward!",online,6
71085,Godsend Bazhe 5,"    Heaven for all into the ""Feng misty city"" hegemony server overlord who carried gifts!
Daily fixed period of time can directly receive different treasures, equipment!","    Daily 10: 00 ~ 11: 00,12: 00 to 13: 00,14: 00 to 15: 00,16: 00 to 17: 00,18: 00 to 19: 00,20: 00 to 21: 00, 21:00 - 22:00 time period, available through the taskbar class destiny ""heaven-sent Bazhe"" series of tasks directly receive the corresponding reward!",online,6
71086,Godsend Bazhe 6,"    Heaven for all into the ""Feng misty city"" hegemony server overlord who carried gifts!
Daily fixed period of time can directly receive different treasures, equipment!","    Daily 10: 00 ~ 11: 00,12: 00 to 13: 00,14: 00 to 15: 00,16: 00 to 17: 00,18: 00 to 19: 00,20: 00 to 21: 00, 21:00 - 22:00 time period, available through the taskbar class destiny ""heaven-sent Bazhe"" series of tasks directly receive the corresponding reward!",online,6
71087,Godsend Bazhe 7,"    Heaven for all into the ""Feng misty city"" hegemony server overlord who carried gifts!
Daily fixed period of time can directly receive different treasures, equipment!","    Daily 10: 00 ~ 11: 00,12: 00 to 13: 00,14: 00 to 15: 00,16: 00 to 17: 00,18: 00 to 19: 00,20: 00 to 21: 00, 21:00 - 22:00 time period, available through the taskbar class destiny ""heaven-sent Bazhe"" series of tasks directly receive the corresponding reward!",online,6
71088,Heaven-sent manna,"    Heaven grace the nations, a large number of ""manna"" spread in the wild at all levels, mountains, collecting a certain number of ""manna"", convertible obtain ""crystal treasure box.""","    1-10 level against wild, 1-15 layer mountains have a chance to drop ""nectar.""",Mannan 50,6
71089,Crystal Romance 1,"    Collect a certain number of crystals, convertible corresponding reward!","    ""Crystal"" is available by opening the ""Crystal Box"" probabilistic; ""Crystal Box"" convertible acquired by completing the ""heaven-sent manna"" mission.",Crystal 10,6
71090,Crystal Romance 2,"    Collect a certain number of crystals, convertible corresponding reward!","    ""Crystal"" is available by opening the ""Crystal Box"" probabilistic; ""Crystal Box"" convertible acquired by completing the ""heaven-sent manna"" mission.",Crystal 20,6
71091,Crystal Romance 3,"    Collect a certain number of crystals, convertible corresponding reward!","    ""Crystal"" is available by opening the ""Crystal Box"" probabilistic; ""Crystal Box"" convertible acquired by completing the ""heaven-sent manna"" mission.",Crystal 30,6
50049,Pangu raised him,"    Ancient Great God Pan Gu mortal am very pleased to worship, Vision reward those pious worship of dysfunction.",    After obtaining the production of VIP (months) effect within the effect time can receive a reward Pangu administered per day.,Pangu order,7
50050,Fuxi raised him,"    Ancient worship for the god Fuxi mortal am very pleased, Vision reward those pious worship of dysfunction.",    After gaining experience VIP (months) effect within the effect time can receive a reward Fuxi administered per day.,Fuxi order,7
50051,Nuwa raised him,"    Great God Goddess worship for ancient earthly am very pleased, Vision reward those pious worship of dysfunction.",    After fighting to get VIP (months) effect within the effect time can receive a reward Goddess administered per day.,Nu Wa made,7
71092,Zijin Kamimuchi,"    One of the most common is the magic Zijin whip Gongming, this whip is made of rare purple, whole body dark, super-powerful!","    Have the opportunity, they could have swept mountains to the depths of Daisy Jade, Pearl and deep sea Heaven Sarah, also available at the mall.",Daisy Jade Emperor of Heaven Deep Sea Dragon Orb,2
71093,Ling Bing Vision,"    Huang Tianhua, Huang Feihu eldest son, dong Ziyang Green Mountain moral Zhenjun of Qingxudong believers. Born nine feet tall, like a suet face, eyes exposed, tiger-shaped leopard walking, head and pull Zhuaji, and gird hemp cord, foot board grass shoe. Jade Kirin ride. Xingruliehuo. Ziya after being called before cutting Zhou vanguard.","    Who have the opportunity, to find to be wild levels ""Kim"", ""white"", and the level in the wild and 1-15 layers 6,8,10 blessed to find mountains ""of Huang Spirit"", ""nine turn resurrection pills"", to help its soul Gods!",Spirit of Huang,2
71094,Gods ran away,"    Senior playing Kamimuchi is the original ancient artifact given to late-bloomer, super-powerful, in charge of the gods!","    Can be purchased at the mall houses of God Sarah box and Kunlun jade box to get the task props needed, have the opportunity, could in the wilderness, mountains to find Heaven Sarah.",Kunlun jade God,2
71095,God of Thunder nine days,"    Thunder whip is strong magic, its power is sufficient epoch, is the magic of heterogeneous.","    Can be purchased at the mall houses of God Sarah box and Kunlun jade box to get the task props needed, have the opportunity, could in the wilderness, mountains to find Heaven Sarah.",Kunlun jade God,2
71096,Long Ji Princess,"    Princess Kat Long Yao Chi Haotian God and gold mother's daughter, is a female fairy Kunlun Mountains, in charge of water female immortal, because there read Hess, was demoted in the Phoenix Mountain Qingluan fighting Que.","    On ""Dragon chest"" to the chances of obtaining the relevant guitar dragon princess token, collect seven kinds of tokens to redeem dragon guitar god order. Dragon chest can buy and use VIP props ""Goddess order"" after a day get one.",Long Ji Princess,2
71097,Hercules cents soldiers,    It can be used to make a fairy family soldier Exchange 1000 fairy family Hercules soldiers.,"   Sin family so that soldiers can buy and use VIP props ""Goddess order"" after a day get one.",Sin family make soldiers,6
71098,Sin family knife shield,    Available soldiers make a fairy family exchange 700 fairy family knife shield soldiers.,"   Sin family so that soldiers can buy and use VIP props ""Goddess order"" after a day get one.",Sin family make soldiers,6
71099,Cibingxiangong,    Available two soldiers fairy family make exchange 500 fairy family Archers.,"   Sin family so that soldiers can buy and use VIP props ""Goddess order"" after a day get one.",Sin family make soldiers,6
71100,Cibingxianju,    Available 3 cents clan soldiers make exchange 300 fairy family chariot soldiers.,"   Sin family so that soldiers can buy and use VIP props ""Goddess order"" after a day get one.",Sin family make soldiers,6
71101,Two Dragons Excalibur,"    Two Long Sword, Kyrgyzstan exclusive magic dragon princess. Hilt with two dragons, the blade lightweight, highly lethal!","    Who have the opportunity to be in the depths of the mountains to find God Kunlun jade and stone Faerie, also through the purchase of ""God Kunlun jade box"" in the mall to get the Kunlun jade God!","Faerie stone, jade Kunlun God",2
56053,Exchange demon bow,    Make available an immortal soldier Exchange 2000 Yaozu Archers.,   Available cents soldiers make exchange Yaozu Archers.,Sin soldiers make,6
94900,Gods double,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94901,Gods Guiyuan,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94902,Gods jewelry,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94903,Gods Treasure,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94904,Gods Meishan,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94905,Gods blessing,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94906,Feng fairy apricot,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94907,Gods Lian Xian,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
94908,Magical seal installed,"Collect a certain number of ""Gods beads"" can be exchanged for the corresponding rich rewards!","""Gods Pearl"" is available to complete ""on the line every day,"" the daily tasks, can also be obtained through certain fixed period of activity.",Gods beads,5
71102,Flying the flag,"    ""World Cup"" is the overseas foreign body, can be allowed to have a legend to gain endless glory!
Bounteous Gods continent, although with numerous rare odd treasure, but just missing treasure ""World Cup."" Therefore, the Emperor favored the industrious efforts of the people, wishing a group of Chinese supreme symbol of the glory of ""trophy"" awarded to bazhe deserved it!","   Attack the wild at all levels, mountains, there is a chance to get treasure ""waving flag"", collect a certain number of ""flying the flag"", convertible won the ""World Cup""!",Waving flag,6
96000,On the line every day,"    On the line every day, every day Gifts get!","    20 per day: 00--22: 00 on-line, you can receive ""on-line package every day,"" one of Gods bead 20!",online,6
96001,On the line every day,"    On the line every day, every day Gifts get!","    Daily 20: 00--22: 00 on-line, you can receive ""God Meishan box"" 2!",online,6
71103,World Cup 1,"    Collect a certain number of ""trophy"" can be exchanged for the corresponding mystery bonus!","   ""World Cup"" is the overseas foreign body, can be allowed to have a legend to gain endless glory, can be redeemed by completing the task - was ""flying the flag.""",world Cup,6
71104,World Cup 2,"    Collect a certain number of ""trophy"" can be exchanged for the corresponding mystery bonus!","   ""World Cup"" is the overseas foreign body, can be allowed to have a legend to gain endless glory, can be redeemed by completing the task - was ""flying the flag.""",world Cup,6
71105,World Cup 3,"    Collect a certain number of ""trophy"" can be exchanged for the corresponding mystery bonus!","   ""World Cup"" is the overseas foreign body, can be allowed to have a legend to gain endless glory, can be redeemed by completing the task - was ""flying the flag.""",world Cup,6
71106,World Cup 4,"    Collect a certain number of ""trophy"" can be exchanged for the corresponding mystery bonus!","   ""World Cup"" is the overseas foreign body, can be allowed to have a legend to gain endless glory, can be redeemed by completing the task - was ""flying the flag.""",world Cup,6
71107,World Cup 5,"    Collect a certain number of ""trophy"" can be exchanged for the corresponding mystery bonus!","   ""World Cup"" is the overseas foreign body, can be allowed to have a legend to gain endless glory, can be redeemed by completing the task - was ""flying the flag.""",world Cup,6
71108,World Cup 6,"    Collect a certain number of ""trophy"" can be exchanged for the corresponding mystery bonus!","   ""World Cup"" is the overseas foreign body, can be allowed to have a legend to gain endless glory, can be redeemed by completing the task - was ""flying the flag.""",world Cup,6
71109,Dragon Boat Festival dumplings,"    Dragon Boat Festival, the day the order of the emperor imperial heaven produced a large number of ""Dragon Boat Festival dumplings"" reward nations!","   During the event, a day can receive a ""Dragon Boat Festival dumplings"" open availability of many ultra-affordable treasures!",online,6
71110,Dragon Boat Race 1,"    Dragon Boat Festival, Dragon Boat god heaven heaven charge of dragon boat accidentally scattered in the world, to help him find the scattered dragon boat, will receive the heavenly reward Oh!","   Attack levels wilderness, mountains, collecting a certain number of boat convertible appropriate incentives!",Dragon Boat,6
71111,Dragon Boat Race 2,"    Dragon Boat Festival, Dragon Boat god heaven heaven charge of dragon boat accidentally scattered in the world, to help him find the scattered dragon boat, will receive the heavenly reward Oh!","   Attack levels wilderness, mountains, collecting a certain number of boat convertible appropriate incentives!",Dragon Boat,6
71112,Dragon Boat Race 3,"    Dragon Boat Festival, Dragon Boat god heaven heaven charge of dragon boat accidentally scattered in the world, to help him find the scattered dragon boat, will receive the heavenly reward Oh!","   Attack levels wilderness, mountains, collecting a certain number of boat convertible appropriate incentives!",Dragon Boat,6
71113,Boat Race 4,"    Dragon Boat Festival, Dragon Boat god heaven heaven charge of dragon boat accidentally scattered in the world, to help him find the scattered dragon boat, will receive the heavenly reward Oh!","   Attack levels wilderness, mountains, collecting a certain number of boat convertible appropriate incentives!",Dragon Boat,6
71114,Ape sperm came into the world,"    Yuan Hong, head of Meishan seven strange, magic considerable, unpredictable, worked with fellow practitioners eighty-nine Xuangong Yang Jian battle, hard up and down, no less!","    Who have the opportunity to be blessed in the depths of the mountains to find ""God Kunlun jade"", in mountains 8, 10 layers to find ""white ape Mami""; also available for sale at the mall.","Gods beads
White Ape Mami
Kunlun jade God",2
71115,Shenyuanjingun,"    God ape golden stick, is the magic and the magic YUAN rely on a strong cast artifact. Its power although not exalted, but so that all people with extremely hostile headache - no matter how powerful attack, it can be the invisible, then the integration YUAN own powerful magic, given fatal one strike.","    Who have the opportunity to be in the mountains 8, 10 layers to find ""white ape Mami""; also available for sale at the mall.","White Ape Mami
gold
wood
Copper",2
71116,Phoenix,"    Phoenix is ​​the ancient bird, every death, the whole body will ignite the fire, reborn in the fire, and the transition into a more powerful body, again and again, called ""phoenix.""
Peacock Phoenix for the child, his mother inherited this ability, but needs to ""Phoenix of the spirit"" to stimulate the potential of immortality.","    When the phoenix, the ""Phoenix of the spirit"" spit fell on a deep mountains blessed. Who have the opportunity, to find layer 16 may be in the mountains, may purchase in the mall.",Phoenix Fine,2
71117,Colored SG,"    SG colored, is the first one among the world peacock feathers, the distribution of colored light, dividing by the five elements, under a twist, no brush was not. Legend with colored feathers Kongxuan to absorb the power of God colored stone before practice to the extreme, can make the world collect weapons, under the sage can be invincible!","    Have the opportunity, could to find in the wild at all levels ""colored stone of God"", in the mountains 3,5,7 layer to find ""colored tail feathers""; also available for sale in the mall.","Colored stone of God
Colored feathers",2
50011,Five Lingshi,"    Heaven and Earth Optimus Prime ill-Hill brake then this world, wishing to enter which to explore its wonders, must be approved by the Warriors of Heaven, was ""Warriors order"" is the only way.","    16 to 20 in the mountains blessed layer may fall ""congenital five elements stone"" can be used to redeem props into the ill-Hill's ""warrior order"" in the 6-10 grade wilderness is also possible to obtain a ""congenital five elements stone"", this daily task only do once.",Congenital five elements stone,7
50012,Gold artifact,"    Ill-Hill mysterious anomaly, into the treasure hunters and those who have obtained very few. Emperor found ill-Hill in a unique innate fine gold has the effect of contributing to heaven Xian Qi, he ordered regardless Dwelling mortal, if this contribution was in heaven who must be rewarded.","    Turned over 20 rare props ""innate fine gold"" can return ""Artifact equipment box"" a. ""Innate fine gold"" option with a tendency to get ill in the mountains.",Congenital gold,7
71118,Kongxuan born,"    Kongxuan - Phoenix's son, is the first peacocks between heaven and earth. After the phoenix, its responsibility to protect soup instead of the mother bear country, is the patron saint of the ancient Shang Dynasty legend class, its strength is sufficient epoch, extraordinary.
""Peacock Mami"" need to absorb a lot of strong spiritual power ""colored stone of God"" supply until its tail feathers colored SG issued before wake Kongxuan soul.","    Have the opportunity, could to find ""colored stone of God"" in the wild at all levels, you can also purchase ""colored stone of God box"" to open the mall to obtain.","Peacock Mami
Colored stone of God",2
71119,Tanabata blessing,"    Day order night cool water, sit cows Vega.
    According to legend, the annual Tanabata night, Cowherd and Weaver is in heaven, the Magpie Bridge. The people were deeply moved by the love story of Cowherd and Weaver will face the beginnings of the stars in the night, praying own happy marriage. Heaven at this time to send blessings, bless all people can get the perfect love!","   During the event, a day can receive ""strong boxes"" One, to get the blessing of Heaven after the open, and get treasure Valentine's Day - Chocolate.",online,6
71120,1 treasure hunt blessing,"    Tanabata night, Magpie Bridge. According to legend, the Cowherd and Weaver's love touched magpies, magpie flew ten million, barricaded Magpie Bridge. The world of ""magpie feather"" is made by the emergence of magpie Magpie Bridge, when the ""magpie feather"" is to lift the seal, will be turned into a magpie flying Magpie Bridge.","   During the event, daily attack levels wilderness, mountains can get ""magpie feather"" and ""Tanabata broken seal character"", a certain number of ""magpie feather"" and ""Tanabata broken seal characters"" convertible BONUS ""love gift"" while ""magpie feather"" itself may redeem reward give other corresponding treasures.",Magpie feather,6
71121,Pray treasure hunt 2,"    Tanabata night, Magpie Bridge. According to legend, the Cowherd and Weaver's love touched magpies, magpie flew ten million, barricaded Magpie Bridge. The world of ""magpie feather"" is made by the emergence of magpie Magpie Bridge, when the ""magpie feather"" is to lift the seal, will be turned into a magpie flying Magpie Bridge.","   During the event, daily attack levels wilderness, mountains can get ""magpie feather"" and ""Tanabata broken seal character"", a certain number of ""magpie feather"" and ""Tanabata broken seal characters"" convertible BONUS ""love gift"" while ""magpie feather"" itself may redeem reward give other corresponding treasures.",Magpie feather,6
71122,3 treasure hunt blessing,"    Tanabata night, Magpie Bridge. According to legend, the Cowherd and Weaver's love touched magpies, magpie flew ten million, barricaded Magpie Bridge. The world of ""magpie feather"" is made by the emergence of magpie Magpie Bridge, when the ""magpie feather"" is to lift the seal, will be turned into a magpie flying Magpie Bridge.","   During the event, daily attack levels wilderness, mountains can get ""magpie feather"" and ""Tanabata broken seal character"", a certain number of ""magpie feather"" and ""Tanabata broken seal characters"" convertible BONUS ""love gift"" while ""magpie feather"" itself may redeem reward give other corresponding treasures.",Magpie feather,6
71123,Treasure Hunt pray 4,"    Tanabata night, Magpie Bridge. According to legend, the Cowherd and Weaver's love touched magpies, magpie flew ten million, barricaded Magpie Bridge. The world of ""magpie feather"" is made by the emergence of magpie Magpie Bridge, when the ""magpie feather"" is to lift the seal, will be turned into a magpie flying Magpie Bridge.","   During the event, daily attack levels wilderness, mountains can get ""magpie feather"" and ""Tanabata broken seal character"", a certain number of ""magpie feather"" and ""Tanabata broken seal characters"" convertible BONUS ""love gift"" while ""magpie feather"" itself may redeem reward give other corresponding treasures.","Magpie feather
Tanabata piercing symbol",6
96002,1 day on the line,"    On the line every day! Invincible Gods Gifts presented every day, landing that is polite.","    Daily 19: 00--20: 00 on-line, you can receive ""five cycle package"" a!",online,6
96003,A day on the line 2,"    On the line every day! Invincible Gods Gifts presented every day, landing that is polite.","    Daily 21: 00--22: 00 on-line, you can receive ""five Cultivation package"" a!",online,6
71124,The basis of the Five Elements 1,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.",Soil Lingzhu,6
71125,The basis of the Five Elements 2,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.",Water Lingzhu,6
71126,The basis of the Five Elements 3,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.",Fire Lingzhu,6
71127,The basis of the Five Elements 4,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.",Wood Lingzhu,6
71128,The basis of the Five Elements 5,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.",Jin Ling Zhu,6
71129,Five Lian Xian,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.","Soil Lingzhu
Water Lingzhu
Fire Lingzhu
Wood Lingzhu
Jin Ling Zhu",6
71130,Five Gods,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.","Soil Lingzhu
Water Lingzhu
Fire Lingzhu
Wood Lingzhu
Jin Ling Zhu",6
71131,Five odd equipment,"    Five practice, set the power of the five elements, you can get more power, even the power of each of the five elements of practice to the extreme, can be the body of the five elements, all-conquering.","   ""Five reincarnation package"" and ""Five Cultivation package"" available Five youngsters, also can be obtained through mountains of victory in battle.","Soil Lingzhu
Water Lingzhu
Fire Lingzhu
Wood Lingzhu
Jin Ling Zhu",6
71132,Yamagami force,"    Yamagami force, the legend has the power of the mountains, the mountain can get shelter, to resist damage.","   Who have the opportunity to be in the mountains to find at all levels ""Pearl of the five elements"", by an assembly of different ""soil Ling Zhu,"" ""fire Ling Zhu,"" through melting ""Broken Shield"" to make a ""mountain of strength."" ""Broken Shield"" purchased through the mall.","Soil Lingzhu
Fire Lingzhu
Broken Shield
",6
71133,Source of longevity,"    The source of longevity, with water power and the power of wood, and they have the ability to heal, and can bring the roar of the water, increasing the bonus attack.","   Have the opportunity, could to find ""Pearl of the five elements"" in the mountains at all levels, by an assembly of different ""wood Ling Zhu,"" ""water Ling Zhu"" ,, by melting ""Broken Shield"" to produce a ""source of longevity."" ""Broken Shield"" purchased through the mall.","Water Lingzhu
Wood Lingzhu
Broken Shield
",6
71134,Five destiny,"    Five elements of fate, the five elements of the force comes, can counteract all magic damage, eating magic effect, and has the ability to weaken the opponent's.","   Have the opportunity, could to find ""Pearl of the five elements"" in the mountains at all levels, by an assembly of different ""Kim Ling Zhu"", ""wood Ling Zhu,"" ""water Ling Zhu"", ""soil Ling Zhu,"" ""fire Ling Zhu,"" through melting ""broken shield"" to produce a ""five elements of fate."" ""Broken Shield"" purchased through the mall.","Soil Lingzhu
Water Lingzhu
Fire Lingzhu
Wood Lingzhu
Jin Ling Zhu
Broken Shield",6
71135,Zhong Kui ghost closure,"    Zhong Kui - blessed town house monarch, is the panacea of ​​God, blessed to be a blessing to have financial wealth, responsive. Jinling riding a white Ze, holding a sword Qingfeng Seven, Eight red Shadeng lead the way, the three yellow canopy along Luo umbrella, the demon slayer, sealing ghost Vampire Killers, without their drawbacks.","    Have the opportunity, it could be to find ""Pearl of the five elements"" in the mountains at all levels, respectively, an assembly of ""Golden Ling Zhu"", ""wood Ling Zhu,"" ""water Ling Zhu"", ""soil Ling Zhu,"" ""fire Ling Zhu,"" through ""Five cents array closure"" can be summoned, ""Zhong Kui."" ""Five cents array closure"" to get through the mall to buy.","Soil Lingzhu
Water Lingzhu
Fire Lingzhu
Wood Lingzhu
Jin Ling Zhu
Five cents array closure",2
70007,Charms (pseudo),"    Zhou Shan was born, the second coming troubled times, throughout the world perplexity born, each one contains Hufu Once upon a god, you can sprinkle beans become soldiers came into the world to obtain the corresponding magic.","    During the mission is on, players can use a [Charms (pseudo)] exchange [300] Archers. [Perplexity (pseudo)] may fall wild 7 to 10 and from 1 to 7 layers of mountains blessed.",300 Bow Charms,6
70008,Exchange tin,"    Zhou Shan was born, the second coming troubled times, the world around perplexity born, tiger same properties can be obtained in line with four for a higher level of perplexity.","    During the mission is on, players can use the four [Charms (pseudo)] exchange [a] Baitie Hu Fu. [Perplexity (pseudo)] falling within 7 ~ 10 1 ~ 7 and the wild mountains blessed in layers.",False change Baitie,6
70009,白铁虎 character,"    Zhou Shan was born, the second coming troubled times, throughout the world perplexity born, each one contains Hufu Once upon a god, you can sprinkle beans become soldiers came into the world to obtain the corresponding magic.","    During the mission is on, players can use a [character] exchange Bai Tiehu [300] barbarians Archers. [Baitie Hu Fu] in 8 to 15 layers of mountains blessed fall.",Charms 300 pretty bow,6
70011,Bronze Charms,"    Zhou Shan was born, the second coming troubled times, throughout the world perplexity born, each one contains Hufu Once upon a god, you can sprinkle beans become soldiers came into the world to obtain the corresponding magic.","    During the mission is on, players can use a [bronze] exchange Charms 300 [Yaozu Archers]. Operator [] Baitie Hu may fall in 16-20 layers blessed mountains.",Charms 300 demon bow,6
70013,Silver Charms,"    Zhou Shan was born, the second coming troubled times, throughout the world perplexity born, each one contains Hufu Once upon a god, you can sprinkle beans become soldiers came into the world to obtain the corresponding magic.","    During the mission is on, players can use a [] Exchange 300 Silver Charms family Archers [Sin]. Layer 16 to 20 [Baitie Hu symbol] mountains blessed in low probability of falling.",In other words 300 cents satin bow,6
70015,Gold Charms,"    Zhou Shan was born, the second coming troubled times, throughout the world perplexity born, each one contains Hufu Once upon a god, you can sprinkle beans become soldiers came into the world to obtain the corresponding magic.","    During the mission is on, players can use a [gold] convertibility Charms [300] fairy family chariot soldiers. [Gold Charms] through [task by four Silver Charms] exchange from.",Gold exchange 300 cents car,6
70017,Crystal diamond perplexity,"    Zhou Shan was born, the second coming troubled times, throughout the world perplexity born, each one contains Hufu Once upon a god, you can sprinkle beans become soldiers came into the world to obtain the corresponding magic.","    During the mission is on, players can use a [] crystal diamond exchange Charms [2000] fairy family chariot soldiers. [Crystal diamond] can Charms task by four [gold] convertibility Charms come.",Sin transducer crystal diamond car,6
70019,God made emperor,"    Zhou Shan was born, the second coming troubled times, the emperor appeared, Fifteen Strings of Coins to concede defeat. God is the most advanced imperial order token is generated directly by the three infuriating, Once upon a powerful god.","    During the mission is on, players can use a [emperor] God made heaven Exchange [2000] chariot soldiers. [Emperor] God can make the task of [four] crystal diamond exchange Charms come.",God makes 2000 crane,6
70020,Taishi token,"    Zhou Shan was born, the second coming troubled times, the world around perplexity was born, and then cut to teach smell Taishi called friends, cast rounds of golden seal, number Taishi token that up to heaven, heaven call chariot soldiers came into the world.","    During the mission is on, players can use a [token] Taishi exchange 800 [heaven] chariot soldiers. [] Taishi token can be purchased directly at the mall.",Taishi Crane 800,6
70010,Exchange bronze,"    Zhou Shan was born, the second coming troubled times, the world around perplexity born, tiger same properties can be obtained in line with four for a higher level of perplexity.","    During the mission is on, players can use the four [character] exchange Bai Tiehu a bronze hufu []. [Baitie Hu Fu] in 8 to 15 layers of mountains blessed fall.",In other tin bronze,6
70012,Silver Exchange,"    Zhou Shan was born, the second coming troubled times, the world around perplexity born, tiger same properties can be obtained in line with four for a higher level of perplexity.","    During the mission open, with four players can redeem a [bronze] [Silver Charms Charms]. Bronze Charms [] to fall in the 16-20 layer blessed mountains.",In other bronze satin,6
